Atención;Ambiente;Comida;Bebida;Precios;Parqueadero
Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena
Muy buena;Buena;Buena;Muy buena;Regular;Muy buena
Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena
Muy buena;Muy buena;Muy buena;Regular;Buena;Muy buena
Muy buena;Regular;Muy buena;Muy buena;Muy buena;Muy buena
Muy buena;Muy buena;Buena;Muy buena;Muy buena;Muy buena
Muy buena;Buena;Buena;Buena;Muy buena;Buena
Buena;Buena;Muy buena;Muy buena;Buena;Muy buena
Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena
Buena;Buena;Muy buena;Buena;Regular;Muy buena
Muy buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena
Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena
Regular;Muy buena;Muy buena;Regular;Buena;Muy buena
Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena
Muy buena;Buena;Buena;Buena;Muy buena;Muy buena
Muy buena;Buena;Muy buena;Muy buena;Muy buena;Buena
Muy buena;Muy buena;Muy buena;Regular;Regular;Muy buena
Muy buena;Buena;Muy buena;Muy buena;Regular;Muy buena
